# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381334709931e-10       4.175800840558e-15       3.515721364521e-13       0.000000000000e+00       8.285283496454e-09       4.560779509649e-10      -1.840594018227e-12 
    3       1.306077112861e-10       5.350742362539e-15       3.951596945726e-13       0.000000000000e+00       5.086969463398e-09       3.225663904174e-10      -1.393858925568e-12 
    4       1.235419413053e-10       4.626392687379e-15       3.695391989761e-13       0.000000000000e+00       3.523005422682e-09       2.438414649550e-10      -9.122149147436e-13 
    5       1.182577391335e-10       3.084748225447e-15       3.146954485034e-13       0.000000000000e+00       2.621532860549e-09       1.923926746383e-10      -5.067069640035e-13 
    6       1.146360913656e-10       1.723924198761e-15       2.534501697638e-13       0.000000000000e+00       2.042598681518e-09       1.563935126419e-10      -2.080044572873e-13 
    7       1.122776117140e-10       9.312889438459e-16       1.989999911000e-13       0.000000000000e+00       1.644358132315e-09       1.299928948179e-10      -1.760513359702e-14 
    8       1.109021951194e-10       6.009960170777e-16       1.571176962342e-13       0.000000000000e+00       1.356587954511e-09       1.099880940170e-10       7.943388953512e-14 
    9       1.102618492429e-10       4.823871735035e-16       1.290830436922e-13       0.000000000000e+00       1.140650458261e-09       9.448130040035e-11       1.064508341248e-13 
   10       1.101263960679e-10       4.107384280652e-16       1.135723474634e-13       0.000000000000e+00       9.737498428184e-10       8.220556018082e-11       8.929035916368e-14 
   11       1.104368196223e-10       3.446470809702e-16       1.079281732867e-13       0.000000000000e+00       8.334340263115e-10       7.301873159642e-11       5.204003385678e-14 
   12       1.110419195707e-10       2.997660116731e-16       1.090937995354e-13       0.000000000000e+00       7.283993370288e-10       6.456519448068e-11       1.228064637423e-14 
   13       1.118911556801e-10       2.870981553545e-16       1.143864534471e-13       0.000000000000e+00       6.421511928044e-10       5.769912773548e-11      -1.799091327484e-14 
   14       1.129369008189e-10       2.986751424858e-16       1.217850484210e-13       0.000000000000e+00       5.703770612985e-10       5.171892349322e-11      -3.451579666210e-14 
   15       1.141663007006e-10       3.227551536230e-16       1.300011276490e-13       0.000000000000e+00       5.099531106302e-10       4.668838406008e-11      -3.750152863674e-14 
   16       1.155045344157e-10       3.568124223047e-16       1.383720913840e-13       0.000000000000e+00       4.585680020238e-10       4.235250904847e-11      -3.091012265778e-14 
   17       1.169786808683e-10       4.063828872988e-16       1.466759455798e-13       0.000000000000e+00       4.144792383334e-10       3.856852170500e-11      -1.993881974332e-14 
   18       1.185257609931e-10       4.768950617091e-16       1.551739496131e-13       0.000000000000e+00       3.762096059388e-10       3.526796878788e-11      -9.474301024083e-15 
   19       1.201571147035e-10       5.686750034193e-16       1.640894432276e-13       0.000000000000e+00       3.431419538216e-10       3.240365106648e-11      -2.117439715711e-15 
   20       1.218654369158e-10       6.797227403815e-16       1.735623363348e-13       0.000000000000e+00       3.140160847580e-10       2.986125093992e-11       4.240373503524e-16 
   21       1.236520306716e-10       8.094023293705e-16       1.835436327336e-13       0.000000000000e+00       2.883741728219e-10       2.759473759596e-11      -1.286351862615e-15 
   22       1.254908947585e-10       9.572264593004e-16       1.938451180683e-13       0.000000000000e+00       2.655991787032e-10       2.554707294675e-11      -5.504354972468e-15 
   23       1.273884034014e-10       1.123365167384e-15       2.041438432989e-13       0.000000000000e+00       2.453864494702e-10       2.370973350941e-11      -1.047658213659e-14 
   24       1.293387982365e-10       1.308034796251e-15       2.140273898962e-13       0.000000000000e+00       2.272747162908e-10       2.206606300018e-11      -1.433563261613e-14 
   25       1.313368517907e-10       1.511450286888e-15       2.231880440004e-13       0.000000000000e+00       2.110184619353e-10       2.059378775265e-11      -1.626998040054e-14 
   26       1.333648828755e-10       1.733981687065e-15       2.313620965696e-13       0.000000000000e+00       1.962997047407e-10       1.925601423055e-11      -1.595360382275e-14 
   27       1.354324974069e-10       1.977260461157e-15       2.384779396270e-13       0.000000000000e+00       1.830422249627e-10       1.804349094679e-11      -1.389855576329e-14 
